TITLE = "Equilibrium TP Sweep: AIR5"
VARIABLES = "T [K]", "P [Pa]", "Y(N2)", "Y(O2)", "Y(NO)", "Y(N)", "Y(O)"
ZONE T="TP_Sweep", I=2000, F=BLOCK
6.17587250e-03 6.44878599e-03 6.73139785e-03 7.02395239e-03 7.32669627e-03 
7.63987833e-03 7.96374948e-03 8.29856256e-03 8.64457216e-03 9.00203445e-03 
9.37120706e-03 9.75234885e-03 1.01457197e-02 1.05515805e-02 1.09701925e-02 
1.14018178e-02 1.18467183e-02 1.23051562e-02 1.27773932e-02 1.32636907e-02 
1.37643092e-02 1.42795082e-02 1.48095458e-02 1.53546785e-02 1.59151609e-02 
1.64912455e-02 1.70831819e-02 1.76912171e-02 1.83155948e-02 1.89565550e-02 
1.96143339e-02 2.02891633e-02 2.09812702e-02 2.16908768e-02 2.24181994e-02 
2.31634487e-02 2.39268289e-02 2.47085375e-02 2.55087648e-02 2.63276935e-02 
2.71654980e-02 2.80223444e-02 2.88983896e-02 2.97937810e-02 3.07086562e-02 
3.16431420e-02 3.25973546e-02 3.35713984e-02 3.45653662e-02 3.55793381e-02 
3.66133813e-02 3.76675497e-02 3.87418831e-02 3.98364069e-02 4.09511316e-02 
4.20860524e-02 4.32411483e-02 4.44163824e-02 4.56117005e-02 4.68270315e-02 
4.80622864e-02 4.93173583e-02 5.05921213e-02 5.18864312e-02 5.32001240e-02 
5.45330164e-02 5.58849050e-02 5.72555663e-02 5.86447561e-02 6.00522096e-02 
6.14776412e-02 6.29207439e-02 6.43811898e-02 6.58586296e-02 6.73526926e-02 
6.88629867e-02 7.03890989e-02 7.19305945e-02 7.34870181e-02 7.50578934e-02 
7.66427234e-02 7.82409910e-02 7.98521590e-02 8.14756708e-02 8.31109509e-02 
8.47574052e-02 8.64144216e-02 8.80813710e-02 8.97576078e-02 9.14424706e-02 
9.31352832e-02 9.48353552e-02 9.65419834e-02 9.82544526e-02 9.99720363e-02 
1.01693999e-01 1.03419594e-01 1.05148072e-01 1.06878671e-01 1.08610630e-01 
1.10343180e-01 1.12075552e-01 1.13806975e-01 1.15536679e-01 1.17263896e-01 
1.18987859e-01 1.20707809e-01 1.22422990e-01 1.24132655e-01 1.25836066e-01 
